,exps,acc_pl,acc_prob
0,2,0.45496722564621633,0.608236140763621
1,7,0.4824059495495054,0.9999527639231145
2,12,0.46352428357470243,0.3559571496917882
3,17,0.6472276270909468,0.5590803617231158
4,22,0.29100733164788434,0.45182370420612333
5,27,0.34384682764344493,0.288432899194446
6,32,0.0169623555961308,0.06848310576361252
7,37,0.004761956217901251,0.007777473358586198
8,42,0.005263487145232308,0.005038299202436653
9,47,0.005286711605235944,0.004557572677807398
10,52,0.0034437370870942985,0.0031599546067024426
11,57,0.0029500583481271293,0.002975587469142207
12,62,0.0018263170752576292,0.0018692330508210675
