,prop,lambda,theta,sample,sample_avg,acc_mhs
0,normal_dep,10.0,1e-06,0,0.9348045885442746,0.9331983685122911
1,normal_dep,10.0,1e-06,1,0.9348045885442746,0.9352061435522704
2,normal_dep,10.0,1e-06,2,0.9348045885442746,0.9352061435522704
3,normal_dep,10.0,1e-06,3,0.9348045885442746,0.9352061435522704
4,normal_dep,10.0,1e-06,4,0.9348045885442746,0.9352061435522704
5,normal_dep,10.0,1e-05,0,0.9352061435522703,0.9352061435522704
6,normal_dep,10.0,1e-05,1,0.9352061435522703,0.9352061435522704
7,normal_dep,10.0,1e-05,2,0.9352061435522703,0.9352061435522704
8,normal_dep,10.0,1e-05,3,0.9352061435522703,0.9352061435522704
9,normal_dep,10.0,1e-05,4,0.9352061435522703,0.9352061435522704
10,normal_dep,10.0,0.0001,0,0.9352061435522703,0.9352061435522704
11,normal_dep,10.0,0.0001,1,0.9352061435522703,0.9352061435522704
12,normal_dep,10.0,0.0001,2,0.9352061435522703,0.9352061435522704
13,normal_dep,10.0,0.0001,3,0.9352061435522703,0.9352061435522704
14,normal_dep,10.0,0.0001,4,0.9352061435522703,0.9352061435522704
15,normal_dep,10.0,0.001,0,0.9352061435522703,0.9352061435522704
16,normal_dep,10.0,0.001,1,0.9352061435522703,0.9352061435522704
17,normal_dep,10.0,0.001,2,0.9352061435522703,0.9352061435522704
18,normal_dep,10.0,0.001,3,0.9352061435522703,0.9352061435522704
19,normal_dep,10.0,0.001,4,0.9352061435522703,0.9352061435522704
20,normal_dep,10.0,0.01,0,0.9467565137475923,1.0223953881428376
21,normal_dep,10.0,0.01,1,0.9467565137475923,0.9391617105477658
22,normal_dep,10.0,0.01,2,0.9467565137475923,1.0184519831191254
23,normal_dep,10.0,0.01,3,0.9467565137475923,0.9420457582888363
24,normal_dep,10.0,0.01,4,0.9467565137475923,0.8117277286393962
25,normal_dep,10.0,0.1,0,0.7548899716074597,0.7188780077160022
26,normal_dep,10.0,0.1,1,0.7548899716074597,0.769334001654059
27,normal_dep,10.0,0.1,2,0.7548899716074597,0.7168715328501398
28,normal_dep,10.0,0.1,3,0.7548899716074597,0.7027333699827464
29,normal_dep,10.0,0.1,4,0.7548899716074597,0.8666329458343516
30,normal_dep,10.0,1.0,0,0.7456160756890267,0.7748153625965855
31,normal_dep,10.0,1.0,1,0.7456160756890267,0.8122818275814776
32,normal_dep,10.0,1.0,2,0.7456160756890267,0.6794744149083884
33,normal_dep,10.0,1.0,3,0.7456160756890267,0.6898594486073
34,normal_dep,10.0,1.0,4,0.7456160756890267,0.771649324751382
35,normal_dep,10.0,10.0,0,0.8305162057562173,1.0249685286345809
36,normal_dep,10.0,10.0,1,0.8305162057562173,0.8383590523695602
37,normal_dep,10.0,10.0,2,0.8305162057562173,0.7608864900225671
38,normal_dep,10.0,10.0,3,0.8305162057562173,0.6476357405009064
39,normal_dep,10.0,10.0,4,0.8305162057562173,0.8807312172534717
40,normal_dep,100.0,1e-06,0,0.9352061435522703,0.9352061435522704
41,normal_dep,100.0,1e-06,1,0.9352061435522703,0.9352061435522704
42,normal_dep,100.0,1e-06,2,0.9352061435522703,0.9352061435522704
43,normal_dep,100.0,1e-06,3,0.9352061435522703,0.9352061435522704
44,normal_dep,100.0,1e-06,4,0.9352061435522703,0.9352061435522704
45,normal_dep,100.0,1e-05,0,0.9352061435522703,0.9352061435522704
46,normal_dep,100.0,1e-05,1,0.9352061435522703,0.9352061435522704
47,normal_dep,100.0,1e-05,2,0.9352061435522703,0.9352061435522704
48,normal_dep,100.0,1e-05,3,0.9352061435522703,0.9352061435522704
49,normal_dep,100.0,1e-05,4,0.9352061435522703,0.9352061435522704
50,normal_dep,100.0,0.0001,0,0.9352061435522703,0.9352061435522704
51,normal_dep,100.0,0.0001,1,0.9352061435522703,0.9352061435522704
52,normal_dep,100.0,0.0001,2,0.9352061435522703,0.9352061435522704
53,normal_dep,100.0,0.0001,3,0.9352061435522703,0.9352061435522704
54,normal_dep,100.0,0.0001,4,0.9352061435522703,0.9352061435522704
55,normal_dep,100.0,0.001,0,0.9352061435522703,0.9352061435522704
56,normal_dep,100.0,0.001,1,0.9352061435522703,0.9352061435522704
57,normal_dep,100.0,0.001,2,0.9352061435522703,0.9352061435522704
58,normal_dep,100.0,0.001,3,0.9352061435522703,0.9352061435522704
59,normal_dep,100.0,0.001,4,0.9352061435522703,0.9352061435522704
60,normal_dep,100.0,0.01,0,0.5321915439159097,0.48374556935185886
61,normal_dep,100.0,0.01,1,0.5321915439159097,0.48384505976108977
62,normal_dep,100.0,0.01,2,0.5321915439159097,0.5144371980121998
63,normal_dep,100.0,0.01,3,0.5321915439159097,0.6139635706702063
64,normal_dep,100.0,0.01,4,0.5321915439159097,0.5649663217841943
65,normal_dep,100.0,0.1,0,0.2974106424369446,0.25889894972330013
66,normal_dep,100.0,0.1,1,0.2974106424369446,0.3377521998305389
67,normal_dep,100.0,0.1,2,0.2974106424369446,0.32216432343345885
68,normal_dep,100.0,0.1,3,0.2974106424369446,0.3140639138014535
69,normal_dep,100.0,0.1,4,0.2974106424369446,0.2541738253959719
70,normal_dep,100.0,1.0,0,0.3110427055873806,0.30793761536465775
71,normal_dep,100.0,1.0,1,0.3110427055873806,0.3558119951414498
72,normal_dep,100.0,1.0,2,0.3110427055873806,0.30791504043942763
73,normal_dep,100.0,1.0,3,0.3110427055873806,0.26999945026996086
74,normal_dep,100.0,1.0,4,0.3110427055873806,0.31354942672140695
75,normal_dep,100.0,10.0,0,0.30816591793664255,0.282896275807398
76,normal_dep,100.0,10.0,1,0.30816591793664255,0.3388976319162779
77,normal_dep,100.0,10.0,2,0.30816591793664255,0.25692493785060916
78,normal_dep,100.0,10.0,3,0.30816591793664255,0.4063860743898283
79,normal_dep,100.0,10.0,4,0.30816591793664255,0.25572466971909935
80,normal_dep,500.0,1e-06,0,0.93541490283429,0.9352061435522704
81,normal_dep,500.0,1e-06,1,0.93541490283429,0.9364539502114604
82,normal_dep,500.0,1e-06,2,0.93541490283429,0.9352061435522704
83,normal_dep,500.0,1e-06,3,0.93541490283429,0.9352061435522704
84,normal_dep,500.0,1e-06,4,0.93541490283429,0.9350021333031773
85,normal_dep,500.0,1e-05,0,0.9352061435522703,0.9352061435522704
86,normal_dep,500.0,1e-05,1,0.9352061435522703,0.9352061435522704
87,normal_dep,500.0,1e-05,2,0.9352061435522703,0.9352061435522704
88,normal_dep,500.0,1e-05,3,0.9352061435522703,0.9352061435522704
89,normal_dep,500.0,1e-05,4,0.9352061435522703,0.9352061435522704
90,normal_dep,500.0,0.0001,0,0.9352061435522703,0.9352061435522704
91,normal_dep,500.0,0.0001,1,0.9352061435522703,0.9352061435522704
92,normal_dep,500.0,0.0001,2,0.9352061435522703,0.9352061435522704
93,normal_dep,500.0,0.0001,3,0.9352061435522703,0.9352061435522704
94,normal_dep,500.0,0.0001,4,0.9352061435522703,0.9352061435522704
95,normal_dep,500.0,0.001,0,0.9352061435522703,0.9352061435522704
96,normal_dep,500.0,0.001,1,0.9352061435522703,0.9352061435522704
97,normal_dep,500.0,0.001,2,0.9352061435522703,0.9352061435522704
98,normal_dep,500.0,0.001,3,0.9352061435522703,0.9352061435522704
99,normal_dep,500.0,0.001,4,0.9352061435522703,0.9352061435522704
100,normal_dep,500.0,0.01,0,0.1779286075821439,0.1850186717098593
101,normal_dep,500.0,0.01,1,0.1779286075821439,0.126827483698525
102,normal_dep,500.0,0.01,2,0.1779286075821439,0.18114463314473034
103,normal_dep,500.0,0.01,3,0.1779286075821439,0.1888541765919549
104,normal_dep,500.0,0.01,4,0.1779286075821439,0.20779807276565
105,normal_dep,500.0,0.1,0,0.1216892826937358,0.09469653111462968
106,normal_dep,500.0,0.1,1,0.1216892826937358,0.1454356193021957
107,normal_dep,500.0,0.1,2,0.1216892826937358,0.11218084487367475
108,normal_dep,500.0,0.1,3,0.1216892826937358,0.15969932545224605
109,normal_dep,500.0,0.1,4,0.1216892826937358,0.09643409272593288
110,normal_dep,500.0,1.0,0,0.11490393063482744,0.11944963703529227
111,normal_dep,500.0,1.0,1,0.11490393063482744,0.13544848359298023
112,normal_dep,500.0,1.0,2,0.11490393063482744,0.10728498425164405
113,normal_dep,500.0,1.0,3,0.11490393063482744,0.09977411732282798
114,normal_dep,500.0,1.0,4,0.11490393063482744,0.11256243097139272
115,normal_dep,500.0,10.0,0,0.11460098560110579,0.13052397670861715
116,normal_dep,500.0,10.0,1,0.11460098560110579,0.11082702842358504
117,normal_dep,500.0,10.0,2,0.11460098560110579,0.0980713008413286
118,normal_dep,500.0,10.0,3,0.11460098560110579,0.13145620025672966
119,normal_dep,500.0,10.0,4,0.11460098560110579,0.10212642177526847
120,normal_dep,1000.0,1e-06,0,0.9349870886282281,0.9352061435522704
121,normal_dep,1000.0,1e-06,1,0.9349870886282281,0.9364601959808516
122,normal_dep,1000.0,1e-06,2,0.9349870886282281,0.9337340442795871
123,normal_dep,1000.0,1e-06,3,0.9349870886282281,0.9320124619975505
124,normal_dep,1000.0,1e-06,4,0.9349870886282281,0.9375225973308812
125,normal_dep,1000.0,1e-05,0,0.9352061435522703,0.9352061435522704
126,normal_dep,1000.0,1e-05,1,0.9352061435522703,0.9352061435522704
127,normal_dep,1000.0,1e-05,2,0.9352061435522703,0.9352061435522704
128,normal_dep,1000.0,1e-05,3,0.9352061435522703,0.9352061435522704
129,normal_dep,1000.0,1e-05,4,0.9352061435522703,0.9352061435522704
130,normal_dep,1000.0,0.0001,0,0.9352061435522703,0.9352061435522704
131,normal_dep,1000.0,0.0001,1,0.9352061435522703,0.9352061435522704
132,normal_dep,1000.0,0.0001,2,0.9352061435522703,0.9352061435522704
133,normal_dep,1000.0,0.0001,3,0.9352061435522703,0.9352061435522704
134,normal_dep,1000.0,0.0001,4,0.9352061435522703,0.9352061435522704
135,normal_dep,1000.0,0.001,0,0.9352061435522703,0.9352061435522704
136,normal_dep,1000.0,0.001,1,0.9352061435522703,0.9352061435522704
137,normal_dep,1000.0,0.001,2,0.9352061435522703,0.9352061435522704
138,normal_dep,1000.0,0.001,3,0.9352061435522703,0.9352061435522704
139,normal_dep,1000.0,0.001,4,0.9352061435522703,0.9352061435522704
140,normal_dep,1000.0,0.01,0,0.10313687559294113,0.07731998901650142
141,normal_dep,1000.0,0.01,1,0.10313687559294113,0.13220423274728826
142,normal_dep,1000.0,0.01,2,0.10313687559294113,0.13017472424914042
143,normal_dep,1000.0,0.01,3,0.10313687559294113,0.0730038305369097
144,normal_dep,1000.0,0.01,4,0.10313687559294113,0.10298160141486591
145,normal_dep,1000.0,0.1,0,0.08572097409764613,0.07629623814723567
146,normal_dep,1000.0,0.1,1,0.08572097409764613,0.10580410700574067
147,normal_dep,1000.0,0.1,2,0.08572097409764613,0.0879142554765431
148,normal_dep,1000.0,0.1,3,0.08572097409764613,0.09373047367753959
149,normal_dep,1000.0,0.1,4,0.08572097409764613,0.06485979618117162
150,normal_dep,1000.0,1.0,0,0.09253480230235266,0.10419960212010031
151,normal_dep,1000.0,1.0,1,0.09253480230235266,0.07012458609646674
152,normal_dep,1000.0,1.0,2,0.09253480230235266,0.10313745773190003
153,normal_dep,1000.0,1.0,3,0.09253480230235266,0.08452507704405536
154,normal_dep,1000.0,1.0,4,0.09253480230235266,0.10068728851924084
155,normal_dep,1000.0,10.0,0,0.08828475617101667,0.05120861824490225
156,normal_dep,1000.0,10.0,1,0.08828475617101667,0.06537819287239906
