,n_meas,sample,acc_prob,acc_pl
0,2,0,0.4463836501504657,0.49921898239279716
1,2,1,0.5605295232673442,1.2067714373147995
2,2,2,0.45682741464681653,0.4931747444724469
3,2,3,0.23291458363178977,0.4944657688980132
4,2,4,0.4016771637312181,0.9765178770244346
5,2,5,0.8041571581488054,0.9726477979640133
6,4,0,0.48323465810255284,0.49615066660824325
7,4,1,0.472373076422703,0.49804585832448967
8,4,2,0.35801576546685654,0.4966476367319271
9,4,3,0.12598777217665658,0.4945477199045831
10,4,4,0.46620592338380357,0.49603271719930464
11,4,5,0.018389868469636545,0.003688200339448519
12,6,0,0.009895686026567574,0.006920441410762009
13,6,1,0.00831164594792668,0.00395367574075679
14,6,2,0.014338210796144836,0.003968688354903875
15,6,3,0.435865063562232,0.4974368470517526
16,6,4,0.5546442522363025,0.9933598198575354
17,6,5,0.009872397608275312,0.004050449207562325
18,8,0,0.0029674442267790526,0.002501940792810552
19,8,1,0.008014987551280734,0.003918042269448458
20,8,2,0.005245357110149801,0.005233976396325222
21,8,3,0.006090860605757125,0.0065109785472926155
22,8,4,0.4929593208718112,0.4982998318074124
23,8,5,0.004515152539614418,0.0038444084903986237
24,10,0,0.006859856907636022,0.0021774282709412117
25,10,1,0.00439698832724774,0.002894907662306578
26,10,2,0.004947886155124792,0.005466507960320961
27,10,3,0.004150414714532733,0.002742962159937638
28,10,4,0.003878464175858399,0.002405584968224522
29,10,5,0.0023829243203174976,0.002044265207834338
30,12,0,0.0043177688511032005,0.002807899352833209
31,12,1,0.002398430859930014,0.003218212506279131
32,12,2,0.004100394958216819,0.002533583774963884
33,12,3,0.0037921967236517586,0.002858875575357426
34,12,4,0.003211322002871999,0.004446349166370534
35,12,5,0.002053066540374681,0.0015674834443825645
36,14,0,0.0031563136119891573,0.002718948436373699
37,14,1,0.0020467848663624152,0.0018392851407801915
38,14,2,0.006306133087215335,0.0018498865920058742
39,14,3,0.0023494395143245353,0.0022626903501212713
40,14,4,0.002750747292187279,0.0018606895208017752
41,14,5,0.002497621904470747,0.002148350052636049
42,16,0,0.0018977891171909715,0.0013087985086300967
43,16,1,0.0024688203200503482,0.002515554095601178
44,16,2,0.001824597274999739,0.0013483400330123348
45,16,3,0.003592249133609758,0.002046848868728889
46,16,4,0.0014062893180776033,0.0011154193498551948
47,16,5,0.002099437152519651,0.0015790309365069158
48,18,0,0.002365046283332417,0.002337572002793835
49,18,1,0.0012195970875907656,0.001238761075343649
50,18,2,0.0006748984844614103,0.0009119432703091215
51,18,3,0.0024551239997505636,0.0015039253572855706
52,18,4,0.0028428413076876376,0.002165411727883803
53,18,5,0.0016686351817086964,0.0009742728757971153
54,20,0,0.002255427741889867,0.0015805081571038729
55,20,1,0.0023422547640000314,0.0021308042068208044
56,20,2,0.001684076750835275,0.0013526828114063258
57,20,3,0.0018539358031840992,0.0023081048125438404
58,20,4,0.0015626037358055565,0.0018348583210451733
59,20,5,0.0015313951158983856,0.0014640260031585598
60,22,0,0.0013903909143294063,0.0012399462335485195
61,22,1,0.0010319995588107492,0.0010282723507070164
62,22,2,0.0017490202169670739,0.0018022472502663342
63,22,3,0.0026067051909694928,0.0024649760000144223
64,22,4,0.0018733404854771837,0.0015691752485213811
65,22,5,0.002137333024342609,0.0019357383628490655
66,24,0,0.0006196221091180533,0.0007723180866089512
67,24,1,0.0009777493098577406,0.0008187433915155193
68,24,2,0.0008059924197270167,0.0006730855720248127
69,24,3,0.0009647072211567797,0.0009062502694270895
70,24,4,0.0012626013888726835,0.001553300057206288
71,24,5,0.0009785851064665143,0.0011975641236271711
72,26,0,0.0015490690110934735,0.0013088197847882746
73,26,1,0.0009787962898327217,0.0007746738467125434
74,26,2,0.001230570005570571,0.0009336537054610072
75,26,3,0.0015254158705933442,0.0013344099623616725
76,26,4,0.0014166041716122122,0.0014811743828953437
77,26,5,0.0008623539777812523,0.0009579622286437149
