,exps,ranks,acc_pl,acc_prob
0,1,1,-0.019954480377189603,0.06664260108263377
1,1,2,-0.24721105580344532,0.14608846816347634
2,1,3,-0.21148265171799732,0.07265400033425341
3,1,4,-1.096166681377962,-0.46531213696555773
4,1,5,-0.9712536385664319,-0.6012655412391693
5,1,6,-0.3731226433075447,-0.13220240947928413
6,1,7,-0.9194925062736025,-0.744106642390638
7,1,8,-1.8562111683117264,-0.27933240572802676
8,6,1,0.3692059175064531,-0.04678489789560631
9,6,2,-0.07525566694526448,-0.31413179702155686
10,6,3,-0.24077453871624158,0.21705211896871576
11,6,4,-1.1195505563116699,-0.42987427394018496
12,6,5,-0.6994549757694669,-0.740781078396055
13,6,6,0.26559126085997903,0.04433504419520578
14,6,7,-0.8899501538717584,-0.5918139211316139
15,6,8,-2.9240614112529877,-0.8087108963982781
16,11,1,0.4615115998510056,-0.4297962264050503
17,11,2,0.18179248260221603,-0.4648350825468761
18,11,3,-0.23093622827207183,-0.2535115964725872
19,11,4,-0.9147724019534115,-0.8745471283007885
20,11,5,-0.012848777323773429,-0.49238273577382835
21,11,6,-0.8063353552613997,-0.7558832043920966
22,11,7,-0.755081258855673,-0.4817926485896249
23,11,8,-2.5100715705001897,-1.1007436846811178
24,16,1,-0.0028430470961409433,-1.8121191677892883
25,16,2,-1.3511786950162226,-1.298601691636692
26,16,3,0.21600824667555182,-0.5372932979979381
27,16,4,-0.9063946264284201,-1.0619531376516527
28,16,5,-0.151784464830099,-1.3872037776388144
29,16,6,-0.5609693801896475,-0.414841067682933
30,16,7,-1.7332402027315557,-1.2048377671603807
31,16,8,-2.0258055477238073,-2.3090796362160027
32,21,1,-4.56262600174775,-5.1364676925179165
33,21,2,-2.4681435516394803,-1.499294572113312
34,21,3,-2.30286284443571,-1.6166787316228672
35,21,4,-1.4562893612982988,-1.1316724713363469
36,21,5,-0.8552582002107764,-1.374572114904855
37,21,6,-2.713365024555841,-2.3720682613878212
38,21,7,-1.419440598551955,-1.6498873929102653
39,21,8,-3.336153970921633,-1.514071755059213
40,26,1,-4.656524898786932,-4.991990424394404
41,26,2,-2.152320252192839,-2.1059254074336695
42,26,3,-3.3640996771089515,-2.4427996584986182
43,26,4,-1.413707781713004,-1.1110768270222995
44,26,5,-1.182716227316409,-2.3550491342648474
45,26,6,-2.734144877409252,-2.9542381495510077
46,26,7,-1.6073437119623932,-1.1335128411406505
47,26,8,-3.777724319011669,-4.24498184017036
48,31,1,-5.62071601570905,-5.455802573334364
49,31,2,-4.242181230876638,-3.954186082830952
50,31,3,-3.8557530302528624,-3.7648277341508587
51,31,4,-1.6271266063084422,-1.457048759389502
52,31,5,-1.1397096277105794,-2.482332255993742
53,31,6,-3.324118997708864,-3.160363166993134
54,31,7,-1.3876340545247203,-1.4689111343824266
55,31,8,-4.004658086136901,-3.540159268392862
56,36,1,-5.786573822618979,-5.517169321237838
57,36,2,-5.261227583308812,-3.989496505004455
58,36,3,-4.675606066128503,-4.276377790502703
59,36,4,-1.1762934377361016,-1.466961667205999
60,36,5,-1.9042950490269381,-2.5686266168400267
61,36,6,-3.3161643217917067,-3.490709971363448
62,36,7,-2.072049906102501,-2.2046321627815875
63,36,8,-4.194084423658386,-3.7903998352038686
64,41,1,-6.464810943938034,-6.2624541196266295
65,41,2,-6.099376526539199,-5.923227742783859
66,41,3,-4.979189331468478,-4.554884050174294
67,41,4,-1.4999295354021256,-2.022007232154533
68,41,5,-3.2198438813566446,-3.9089529129015412
69,41,6,-3.5800658449827076,-4.400938257438509
70,41,7,-4.13821389154154,-3.9526566737126596
71,41,8,-4.477707951612691,-4.441404594918512
72,46,1,-6.6369305883665755,-6.640097350398638
73,46,2,-5.800365301775074,-5.985772148025078
74,46,3,-4.937453591268798,-4.7977012132989865
75,46,4,-4.58170338842529,-2.3623280493155216
76,46,5,-3.9249443787355625,-3.728996225236662
77,46,6,-4.135477974055498,-4.672534007679613
78,46,7,-4.404820611617526,-4.662992019402585
79,46,8,-4.64915032073297,-4.774537554368558
80,51,1,-6.749400926306973,-7.054049203862959
81,51,2,-6.107021050865673,-5.940254552629569
82,51,3,-5.213778750214374,-5.5820653338181625
83,51,4,-5.204883446066342,-3.760337117009032
84,51,5,-5.501328238337835,-5.331995915684319
85,51,6,-4.506969662687221,-4.238374861951157
86,51,7,-4.35616325535015,-4.213642626358018
87,51,8,-4.720578382031655,-4.857355064624841
88,56,1,-6.849064998418309,-6.5200447710585685
89,56,2,-6.390373988163543,-5.808457621001688
90,56,3,-5.3679596609344955,-5.843009770183846
91,56,4,-5.818399229177605,-5.554355437397208
92,56,5,-5.659190309063058,-5.781329778081234
93,56,6,-5.077577963909222,-4.608484276688646
94,56,7,-5.319207773022957,-5.014737323964044
95,56,8,-4.7658709743527625,-4.921128556957081
96,61,1,-6.788979766464186,-6.499707802440211
97,61,2,-6.515607757693961,-6.626061127458433
98,61,3,-5.496579480625965,-5.795976837824777
99,61,4,-5.640588307884201,-5.539594444202379
100,61,5,-5.909150747540478,-5.846270232890025
101,61,6,-5.2666147961108045,-5.219548403037704
102,61,7,-5.836097489681008,-5.364472067268107
103,61,8,-5.335919484144125,-5.411414634702493
