,shots,ranks,acc_pl,acc_prob
0,100,1,-4.360636137153549,-4.210208492759638
1,100,2,-2.9124729220903283,-3.195426759556177
2,100,3,-3.7217559938507745,-3.5789976170842097
3,100,4,-2.2031875060781707,-3.3248481420769074
4,100,5,-2.8699612248018878,-3.2824966095477923
5,100,6,-3.7542580492231665,-3.586549183443367
6,100,7,-2.281603709324141,-3.142966442623426
7,100,8,-3.8209206032203062,-3.659663339829471
8,183,1,-4.691714198496789,-4.480642208091721
9,183,2,-3.15588735559071,-4.09873800011706
10,183,3,-4.630563026236205,-4.693357039566695
11,183,4,-2.4374183505894527,-3.7279106378584
12,183,5,-2.833473343433339,-3.1464134352446913
13,183,6,-3.7900913994918652,-3.7645598016508997
14,183,7,-3.5579815850016048,-3.753625609216046
15,183,8,-3.9716907891432456,-3.8483668113249307
16,335,1,-5.462960720713573,-5.667197071821604
17,335,2,-4.991206689306331,-5.048484442428525
18,335,3,-4.397365740590073,-4.428135087522447
19,335,4,-4.5663699999753335,-4.581810641119269
20,335,5,-4.213496480301315,-4.11037266902372
21,335,6,-3.9426620726317,-4.097655659914224
22,335,7,-3.6814737720874833,-4.273606920521188
23,335,8,-4.450502562780649,-4.694803212580013
24,615,1,-6.585775830752097,-6.392637545989772
25,615,2,-5.118010779911914,-5.1887340221985285
26,615,3,-4.695344574949589,-4.868604514886421
27,615,4,-5.083155916164032,-5.046789742996327
28,615,5,-4.708848839718278,-4.6324365242427845
29,615,6,-4.5037196591353315,-4.4514113378897315
30,615,7,-4.618277414691886,-4.7622238073878345
31,615,8,-4.541394341089215,-4.8594044727980705
32,1128,1,-5.7244110164774336,-5.658303912331658
33,1128,2,-6.0150586922747245,-5.92206323810612
34,1128,3,-5.246482235695977,-5.297031749157976
35,1128,4,-5.638164117422803,-5.608654517447793
36,1128,5,-5.072878148798047,-4.996292769916297
37,1128,6,-4.843762505878725,-5.13528485252019
38,1128,7,-4.741740288074688,-5.052459062638229
39,1128,8,-5.058171033328761,-4.974617074144417
40,2069,1,-7.4478418525462144,-7.332500976771237
41,2069,2,-6.568671520521004,-6.515328558885473
42,2069,3,-5.577678644094195,-5.649255561364302
43,2069,4,-6.312550865027178,-6.21121670033069
44,2069,5,-5.852013671169184,-5.845215011585639
45,2069,6,-5.465432869445667,-5.681773847402732
46,2069,7,-5.8297963518869125,-5.842819510849183
47,2069,8,-5.940374160789727,-5.845166178533488
48,3792,1,-7.719201559612833,-7.2896732324670985
49,3792,2,-7.3702588996909775,-6.890326018989604
50,3792,3,-6.394435437871774,-6.248028220382346
51,3792,4,-6.707201425928587,-6.525811390855534
52,3792,5,-6.345532175674344,-6.366208576958265
53,3792,6,-6.2927315410381395,-6.267107791712532
54,3792,7,-6.266622500694533,-6.167332548824399
55,3792,8,-6.316145442266702,-6.078824475708117
56,6951,1,-8.272982580275077,-7.4690486498515565
57,6951,2,-7.757316922758648,-7.195133034835753
58,6951,3,-7.406170515253808,-7.052978124222817
59,6951,4,-7.328365349756204,-7.137895154355095
60,6951,5,-7.266676909875707,-6.922683993147266
61,6951,6,-7.108576743043948,-7.124665757332563
62,6951,7,-6.81023808052656,-6.800358468453668
63,6951,8,-7.101784551294974,-7.024006322064822
64,12742,1,-8.786374275192204,-7.475539023404895
65,12742,2,-8.400690952719259,-7.783438388364016
66,12742,3,-7.652202657383261,-7.1536689702806004
67,12742,4,-7.768042504900635,-7.633510486814554
68,12742,5,-7.763870237950219,-7.526209424134221
69,12742,6,-7.694533012609604,-7.335233293679184
70,12742,7,-7.613249242668274,-7.566973141457745
71,12742,8,-7.766245962256127,-7.319782056017923
72,23357,1,-9.726308317260107,-8.044987871880377
73,23357,2,-8.952756904301005,-8.045286958700288
74,23357,3,-8.219729501816746,-7.542906402771591
75,23357,4,-8.292086717937348,-7.817944871930464
76,23357,5,-8.274404726082894,-7.894082062657282
77,23357,6,-8.36428673586592,-7.961762805474214
78,23357,7,-8.196222207049647,-8.066906171900866
79,23357,8,-8.370253053532835,-8.063836179520294
80,42813,1,-10.295300728831903,-8.544415685568108
81,42813,2,-9.452920922803578,-8.189197281993236
82,42813,3,-8.779124256767997,-7.567639683370366
83,42813,4,-8.854799151903281,-8.221502584963575
84,42813,5,-8.889774185239775,-8.362287529502817
85,42813,6,-8.91590662780154,-8.327449982822246
86,42813,7,-8.800711360433331,-8.497437765831524
87,42813,8,-8.862130975008704,-8.659676599969936
88,78475,1,-10.668497900123988,-8.49868187192982
89,78475,2,-9.991070652101033,-8.098098080830194
90,78475,3,-9.345827154785095,-7.705169432090924
91,78475,4,-9.421308948760965,-8.457097999396321
92,78475,5,-9.373211649239757,-8.568382920538605
93,78475,6,-9.448480752924059,-8.235216401312492
94,78475,7,-9.44901703481921,-8.790408900925256
95,78475,8,-9.44405255498713,-9.023970744654115
96,143844,1,-11.433532772397308,-8.295144490521661
97,143844,2,-10.512152337300199,-8.092674177813757
98,143844,3,-10.04379950196605,-7.990416704555772
