,d,samples,acc_prob,acc_pl
0,1,0,0.0010823470429813357,0.0009088996050225151
1,1,1,0.0007046579859425444,0.0006436341173277441
2,1,2,0.0008878802867478025,0.0010916791273195513
3,1,3,0.0005900765890031104,0.0008331451686824576
4,1,4,0.001274242338978141,0.0014546327556680917
5,1,5,0.001498165415253462,0.001229600631710203
6,1,6,0.001086516520489826,0.0008675967079969083
7,1,7,0.0005354984018509393,0.0005243454575726563
8,2,0,0.0017316159960129335,0.002993436624592228
9,2,1,0.0011443549955790413,0.0013617883994259173
10,2,2,0.00167393229777224,0.0016002773913877549
11,2,3,0.000529850383499775,0.0005598298789396487
12,2,4,0.0010481560429651195,0.0009695360766264909
13,2,5,0.0024342864430903274,0.0023670623603675323
14,2,6,0.001454231723476012,0.0011961066406219333
15,2,7,0.0020948411106225602,0.0018247826056247921
16,3,0,0.0014369049285997755,0.0010119431779385438
17,3,1,0.002296162883147411,0.0025974266276830933
18,3,2,0.0021340097174942763,0.002549927196266128
19,3,3,0.0024176635135378863,0.002275530767695972
20,3,4,0.0032390598455364745,0.0033333306953261805
21,3,5,0.0018162812820097065,0.0017889839071551414
22,3,6,0.0015645992343581818,0.0017481510355683574
23,3,7,0.0022248056090703313,0.0022290265671917235
24,4,0,0.0007506147736048446,0.000682272645379174
25,4,1,0.0017719194409657488,0.0017391692342082123
26,4,2,0.0020364314475181224,0.002470753023224333
27,4,3,0.00219924179376883,0.00274859745593351
28,4,4,0.002935780931733029,0.0025514844741671896
29,4,5,0.002123286604291444,0.0022137244383952067
30,4,6,0.0011347426485099402,0.0010743735362764484
31,4,7,0.001440851533209474,0.0015905670570884
32,5,0,0.0022446464826308705,0.0023161022586260433
33,5,1,0.002420029359580218,0.0030074353911158365
34,5,2,0.0027915526040238627,0.002604867104431866
35,5,3,0.0022023603407575532,0.0023224082325966604
36,5,4,0.002410688133506847,0.0025862722957974878
37,5,5,0.0034376732443095314,0.0030120100402878888
38,5,6,0.0018455912051986447,0.001865240974603814
39,5,7,0.002874997404764247,0.0030963154974554285
40,6,0,0.001617420301246335,0.0013341504595453997
41,6,1,0.003133856641251003,0.002517270419388096
42,6,2,0.0013084413840656062,0.0013725398245906307
43,6,3,0.00199439226439256,0.0022900086061906294
44,6,4,0.0029268653967113294,0.002927431111544861
45,6,5,0.0038726296607665403,0.004057209486373408
46,6,6,0.0021667490310539606,0.002269782810674438
47,6,7,0.003893526772458878,0.003964493521152862
48,7,0,0.0024433189259859887,0.0023209202183901738
49,7,1,0.0036771614450848817,0.003785073986567485
50,7,2,0.000989730686794385,0.0009860327903567412
51,7,3,0.0018443439521043617,0.0017932332868902017
52,7,4,0.002495863160659938,0.0024807160926487793
53,7,5,0.002688523580480232,0.0033457811036165337
54,7,6,0.0021164991339367133,0.0022920257720448135
55,7,7,0.0016140703539990339,0.0016294239421380757
56,8,0,0.0028335312148650015,0.0037256880167994256
57,8,1,0.0037149716061845458,0.006498458643162214
58,8,2,0.0030704269154948486,0.004204679309670507
59,8,3,0.0021797576901022376,0.0023345280454539954
60,8,4,0.0017333442169703828,0.0016300975304177757
61,8,5,0.003136428058241578,0.00332197497966292
62,8,6,0.002910786581187596,0.0029459455735810556
63,8,7,0.001695124216164752,0.0014460393539817808
