,theta,d,samples,acc_prob,acc_pl
0,1e-06,1,0,0.0010823470429813357,0.0009026717075680044
1,1e-06,1,1,0.0007046579859425444,0.0006575317941848699
2,1e-06,1,2,0.0008878802867478025,0.0010844046638627909
3,1e-06,1,3,0.0005900765890031104,0.0008233168342049964
4,1e-06,1,4,0.001274242338978141,0.0014676490148596618
5,1e-06,1,5,0.001498165415253462,0.0012368621345668128
6,1e-06,1,6,0.001086516520489826,0.000861674712477841
7,1e-06,1,7,0.0005354984018509393,0.0005341231276894731
8,1e-06,1,8,0.0019667509540639413,0.0014429947200965156
9,1e-06,1,9,0.0007646084433231786,0.0006853814542372069
10,1e-06,2,0,0.00167393229777224,0.0019183474673916676
11,1e-06,2,1,0.000529850383499775,0.0006450318447401638
12,1e-06,2,2,0.0010481560429651195,0.002666305405503948
13,1e-06,2,3,0.0024342864430903274,0.0028339798965296456
14,1e-06,2,4,0.001454231723476012,0.0012571080607563785
15,1e-06,2,5,0.0020948411106225602,0.002803087649919268
16,1e-06,2,6,0.0017914852765897316,0.0016988410709446648
17,1e-06,2,7,0.001480541964236978,0.002168882285738293
18,1e-06,2,8,0.002543874847320739,0.0025058582203156344
19,1e-06,2,9,0.0015074887883079514,0.002710324641930425
20,1e-06,3,0,0.0032390598455364745,0.008239834296792935
21,1e-06,3,1,0.0018162812820097065,0.001938657664329758
22,1e-06,3,2,0.0015645992343581818,0.053602551009609645
23,1e-06,3,3,0.0022248056090703313,0.0022892822361289906
24,1e-06,3,4,0.0021595349107146194,0.00349141185315022
25,1e-06,3,5,0.0021267485641889815,0.0850603236142728
26,1e-06,3,6,0.002597398559616284,0.018944570073666855
27,1e-06,3,7,0.0029742191183368813,0.00399632832203946
28,1e-06,3,8,0.002173305022188569,0.04557627385294582
29,1e-06,3,9,0.0026117932265801087,0.0027294953882303456
30,1e-06,4,0,0.0011347426485099402,0.0011730292534002968
31,1e-06,4,1,0.001440851533209474,0.0019398048334481296
32,1e-06,4,2,0.002199853950389012,0.0029852012584657326
33,1e-06,4,3,0.0023777439956742187,0.004327781063401023
34,1e-06,4,4,0.0029349198832831457,0.0062033782382478414
35,1e-06,4,5,0.0024317515059404625,0.009770076318808456
36,1e-06,4,6,0.0016317576032626108,0.0019039329513482787
37,1e-06,4,7,0.002194950689332486,0.002258125317401107
38,1e-06,4,8,0.00270195085710195,0.00870436754302163
39,1e-06,4,9,0.0024234824327572587,0.003008756821685721
40,1e-06,5,0,0.0033892515681431027,0.01076578195513013
41,1e-06,5,1,0.0030724186721305838,0.009583170639973108
42,1e-06,5,2,0.0019004088072501534,0.0019791491031695557
43,1e-06,5,3,0.0022250770268898213,0.0019249338003800283
44,1e-06,5,4,0.0016528992060009225,0.001575065791104102
45,1e-06,5,5,0.0009555980526113523,0.0013889598695736442
46,1e-06,5,6,0.0013190545740376493,0.0019980632616532464
47,1e-06,5,7,0.00420421097758992,0.006288273315226665
48,1e-06,5,8,0.002639138348144366,0.0024111097089800086
49,1e-06,5,9,0.0035918902566009154,0.01578236696126126
50,1e-06,6,0,0.0025537003194266153,0.002849330415911727
51,1e-06,6,1,0.0025096226801827578,0.004305702269412203
52,1e-06,6,2,0.0021295454291558767,0.004865385176002837
53,1e-06,6,3,0.0014217872793303055,0.0012618869149801696
54,1e-06,6,4,0.0023233896334162746,0.0031646858572467336
55,1e-06,6,5,0.0015281407915025036,0.001592459989880988
56,1e-06,6,6,0.0020931489598988895,0.0030986968201302716
57,1e-06,6,7,0.001907607399864596,0.00365105898734013
58,1e-06,6,8,0.0025016077326572564,0.004519781550879459
59,1e-06,6,9,0.0031836356792372305,0.0035547145172515776
60,1e-06,7,0,0.0021970182511579246,0.002348994399560242
61,1e-06,7,1,0.0018492583412608244,0.0017190761132809525
62,1e-06,7,2,0.0018388936133024903,0.003021771359111528
63,1e-06,7,3,0.002282363232846985,0.0047744783238280655
64,1e-06,7,4,0.0025327307034730367,0.0025682098945129673
65,1e-06,7,5,0.0013355852886592272,0.0016203079808768356
66,1e-06,7,6,0.002923554710724451,0.002881316236861553
67,1e-06,7,7,0.002813920011169615,0.004531395693843468
68,1e-06,7,8,0.001966678911380573,0.0023746470204620788
69,1e-06,7,9,0.0031978241962519875,0.006065263297445225
70,1e-06,8,0,0.0035383459199354707,0.004131687206126116
71,1e-06,8,1,0.0018149180238954555,0.0035972401010195194
72,1e-06,8,2,0.001512209320728619,0.0017755738601063636
73,1e-06,8,3,0.0016091622420885655,0.002061618135113739
74,1e-06,8,4,0.002669379971687155,0.0067800729112758255
75,1e-06,8,5,0.0018244311823665676,0.002266752126727723
76,1e-06,8,6,0.0022360231173715445,0.0021697544304779296
77,1e-06,8,7,0.0018349630454695552,0.002651321372089862
78,1e-06,8,8,0.0016056852904771236,0.0060888400264145345
79,1e-06,8,9,0.0034189627685827983,0.010620810822533609
80,0.001,1,0,0.0010823470429813357,0.0008019239216784989
81,0.001,1,1,0.0007046579859425444,0.0007513880135857587
82,0.001,1,2,0.0008878802867478025,0.0006629215055044287
83,0.001,1,3,0.0005900765890031104,0.000707604255945099
84,0.001,1,4,0.001274242338978141,0.0008735815167466545
85,0.001,1,5,0.001498165415253462,0.0004859280215069922
86,0.001,1,6,0.001086516520489826,0.0007314352253035088
87,0.001,1,7,0.0005354984018509393,0.0006189100481690077
88,0.001,1,8,0.0019667509540639413,0.0010093143308927133
89,0.001,1,9,0.0007646084433231786,0.0010714367606398571
90,0.001,2,0,0.00167393229777224,0.00136476061944363
91,0.001,2,1,0.000529850383499775,0.001370505303368586
92,0.001,2,2,0.0010481560429651195,0.0021654259044332
93,0.001,2,3,0.0024342864430903274,0.0013349009571066673
94,0.001,2,4,0.001454231723476012,0.0017167533887946665
95,0.001,2,5,0.0020948411106225602,0.0008172475540918805
96,0.001,2,6,0.0017914852765897316,0.0009325044478465112
97,0.001,2,7,0.001480541964236978,0.0016989762191500929
98,0.001,2,8,0.002543874847320739,0.0010151663188776431
99,0.001,2,9,0.0015074887883079514,0.0016714818142449775
100,0.001,3,0,0.0032390598455364745,0.002505128245518988
101,0.001,3,1,0.0018162812820097065,0.0025452628007552338
102,0.001,3,2,0.0015645992343581818,0.007310359779151132
103,0.001,3,3,0.0022248056090703313,0.0021315613393405133
104,0.001,3,4,0.0021595349107146194,0.002436979909852737
105,0.001,3,5,0.0021267485641889815,0.0015323766988106608
106,0.001,3,6,0.002597398559616284,0.002520061264209986
107,0.001,3,7,0.0029742191183368813,0.0011793154008442424
108,0.001,3,8,0.002173305022188569,0.0012815686191194567
109,0.001,3,9,0.0026117932265801087,0.003973525613094023
110,0.001,4,0,0.0011347426485099402,0.0032003992748203024
111,0.001,4,1,0.001440851533209474,0.0012709243810329221
112,0.001,4,2,0.002199853950389012,0.0007489717019814971
113,0.001,4,3,0.0023777439956742187,0.002801276105032854
114,0.001,4,4,0.0029349198832831457,0.0028610617036135314
