,d,samples,acc_prob,acc_pl
0,1,0,0.0008827267116716342,0.0009082137670808039
1,1,1,0.0008240709117283124,0.0006442198516232441
2,1,2,0.0009593273068882449,0.0010885025700518192
3,1,3,0.0007721311062151551,0.0008386856190937767
4,1,4,0.0015385699562915933,0.0014468018976117884
5,1,5,0.0014664200070427008,0.0012376775142785186
6,1,6,0.0010417653867478085,0.0008690797826500498
7,1,7,0.0008132775380282041,0.0005177539965736135
8,2,0,0.001890143405247645,0.0021965346720053017
9,2,1,0.0013345383913159156,0.0013157458985944303
10,2,2,0.0015930884156382403,0.0015969812552010542
11,2,3,0.0003416115917001201,0.0005523658398984764
12,2,4,0.0010347024160360443,0.0010439514986437584
13,2,5,0.0022904116516950113,0.0023732844532884123
14,2,6,0.0014014540371648575,0.0012038989569498025
15,2,7,0.002450530897604141,0.0018926996238531754
16,3,0,0.0011365905665973002,0.0010802589338108257
17,3,1,0.0023320367607804053,0.00268447020077441
18,3,2,0.0027042076772207206,0.0025429151730883516
19,3,3,0.0022928636096698684,0.002286210651207981
20,3,4,0.003790859533610491,0.0033411357715305086
21,3,5,0.0019748738535387356,0.0018239812962524962
22,3,6,0.0017311162383084786,0.0017393339233072594
23,3,7,0.0024030494214900356,0.0022209532008221457
24,4,0,0.0008995872249456044,0.0006800069151897378
25,4,1,0.0016691813079730362,0.0017045147433482923
26,4,2,0.0019888835506419477,0.002439572783473222
27,4,3,0.002495125703757378,0.0026688409089659416
28,4,4,0.002699292079265013,0.0025430861431071333
29,4,5,0.0019000741626209459,0.0022982416966678995
30,4,6,0.0011668395224534922,0.0010619893707178914
31,4,7,0.0013240102712848045,0.0015724368380489178
32,5,0,0.0021307633904737947,0.0023781168778435717
33,5,1,0.0022861777797572903,0.0029815325586277828
34,5,2,0.0024360485236413795,0.0025597713299197757
35,5,3,0.0022102100725763275,0.002317762717223653
36,5,4,0.002533426956096087,0.00258266793124843
37,5,5,0.0029188206625666542,0.00301981610842854
38,5,6,0.0019277874145572666,0.0018582705101205669
39,5,7,0.002975732509092631,0.0030787264768720683
40,6,0,0.0013597312234563828,0.0013298778561292074
41,6,1,0.0024096296139143806,0.002504540591571372
42,6,2,0.0014373017944700546,0.0013775570169761951
43,6,3,0.0020822672499087747,0.00315782867543864
44,6,4,0.0028661022775288082,0.002939322811942057
45,6,5,0.0038787136961315,0.0052985877644525356
46,6,6,0.002022847251553415,0.0022611749551243584
47,6,7,0.004206451597108432,0.0039420409581901175
48,7,0,0.0022577631029042037,0.0023135452851648607
49,7,1,0.003579441722858132,0.0038245706646659297
50,7,2,0.0011073200371441473,0.0009808736230051312
51,7,3,0.001919685929055069,0.0017749135171778042
52,7,4,0.001935428701140868,0.0026397692392312547
53,7,5,0.0023940500751623243,0.00334188089246221
54,7,6,0.002253840219492178,0.002297597363582491
55,7,7,0.0016196842967515143,0.001633143025954174
56,8,0,0.0037031102075609714,0.003688412352836135
57,8,1,0.003066493982109297,0.005200208512519617
58,8,2,0.0030463612033560673,0.00419387696629998
59,8,3,0.0024619342670040957,0.0023347689076230866
60,8,4,0.0019572850239002845,0.004349506173146775
61,8,5,0.0031693619350980765,0.003307516146737592
62,8,6,0.002676967632463119,0.004487614818942678
63,8,7,0.001484877162925938,0.0014380639401359815
