,d,samples,acc_prob,acc_pl
0,1,0,0.002610762873085,0.004593338042850174
1,1,1,0.0012503000050331048,0.0036116774211923824
2,1,2,0.001804337963735333,0.0032941238333872376
3,1,3,0.002370319824472923,0.003908799312783303
4,1,4,0.002016142146596878,0.004585727116939179
5,1,5,0.00270142382021122,0.004519444634222349
6,1,6,0.002399365964741927,0.004638100610460953
7,1,7,0.0025417992276145648,0.004474582620085548
8,3,0,0.0022111520105239043,0.004634714654447662
9,3,1,0.003347063604492445,0.004852409126060982
10,3,2,0.0028400261824323625,0.004509704903630672
11,3,3,0.0023395430144816437,0.004381452310459253
12,3,4,0.0033546940161659038,0.0047083426784827005
13,3,5,0.0026019807155955635,0.004121578893866728
14,3,6,0.0029406010758949385,0.0044229593883589515
15,3,7,0.003649204340121162,0.005159249180894975
16,5,0,0.004051458229003093,0.005887405618959438
17,5,1,0.002582635199248976,0.004208546591619043
18,5,2,0.0026664990208264353,0.004693389239551673
19,5,3,0.0029408435633568324,0.005055101267027326
20,5,4,0.0033493320152677224,0.004840942939114416
21,5,5,0.0030849790985729205,0.004341905467346775
22,5,6,0.002149864326564092,0.003990716195395318
23,5,7,0.0027456068986411557,0.004175873146605848
24,7,0,0.003151515153651765,0.004621714969411281
25,7,1,0.0043134665446065545,0.005738976272338945
26,7,2,0.0034758483064486626,0.005529501835303127
27,7,3,0.002816135086962138,0.004663632474041398
28,7,4,0.0025993504541292466,0.003987481880031631
29,7,5,0.004047349003006324,0.005309562666185531
30,7,6,0.0035460118448656062,0.005218726845380943
31,7,7,0.0040725711356122875,0.0056743383947313085
32,9,0,0.005179384417729355,0.005695230266435394
33,9,1,0.0025488712726745117,0.004201098863435707
34,9,2,0.003867261265872899,0.00570894122576527
35,9,3,0.0035786453094784234,0.005426942085798117
36,9,4,0.0020170772456025803,0.003639512692618936
37,9,5,0.002927656687590458,0.005299031019844963
38,9,6,0.005163738495326985,0.006347017122080884
39,9,7,0.0028352708293105933,0.004275166240809405
40,11,0,0.002537660564603719,0.004943682116763006
41,11,1,0.0038282449123039322,0.004925640438248104
42,11,2,0.0032909801205025465,0.00454317704133166
43,11,3,0.0016683722263896364,0.003407994733222064
44,11,4,0.003798631806919099,0.005161085231979613
45,11,5,0.0031305531498461783,0.004732205697316691
46,11,6,0.00258756713686589,0.005423043122865147
47,11,7,0.0038068590907532115,0.005157451176116791
48,13,0,0.004265632082164228,0.004633303689954742
49,13,1,0.0027324342997699894,0.004216176508435728
50,13,2,0.0035933875472883097,0.00483586880913458
51,13,3,0.0032377578387836714,0.004609593033301923
52,13,4,0.0025602064198603524,0.0041391659112043925
53,13,5,0.002346313892044635,0.004338132080802476
54,13,6,0.003651063860442335,0.005034204758473044
55,13,7,0.004287451653146155,0.006203317153436784
56,15,0,0.0028422890499055463,0.004796422072700605
57,15,1,0.003524917987300938,0.005525073274404746
58,15,2,0.002764043075661133,0.003423174519487903
59,15,3,0.003369809405667376,0.0044833887787382185
60,15,4,0.002683356471516769,0.004337291457514375
61,15,5,0.003225465373480038,0.004663505202632569
62,15,6,0.006725948714463743,0.007206828852972778
63,15,7,0.0031242342740377326,0.004539467385609645
