,theta,d,samples,acc_prob,acc_pl
0,1e-06,1,0,0.0008827267116716342,0.0014187125258430507
1,1e-06,1,1,0.0008240709117283124,0.003082504688357176
2,1e-06,1,2,0.0009593273068882449,0.001508955753937015
3,1e-06,1,3,0.0007721311062151551,0.0014227332769302479
4,1e-06,1,4,0.0015385699562915933,0.002423786215030028
5,1e-06,1,5,0.0014664200070427008,0.0027339349447811074
6,1e-06,1,6,0.0010417653867478085,0.0035104631592451025
7,1e-06,1,7,0.0008132775380282041,0.003347551675007409
8,1e-06,1,8,0.0019377852126716373,0.0027565945866494562
9,1e-06,1,9,0.00112898137755925,0.0020405128451213856
10,1e-06,2,0,0.0015930884156382403,0.0022763290624846417
11,1e-06,2,1,0.0003416115917001201,0.0017774412425585614
12,1e-06,2,2,0.0010347024160360443,0.005638693450025127
13,1e-06,2,3,0.0022904116516950113,0.005958670098167159
14,1e-06,2,4,0.0014014540371648575,0.001854614060748118
15,1e-06,2,5,0.002450530897604141,0.0030801641172149945
16,1e-06,2,6,0.001789204514719292,0.0051962234822205385
17,1e-06,2,7,0.0013575679069765007,0.003238720028006857
18,1e-06,2,8,0.002621950141713446,0.0027369031803957636
19,1e-06,2,9,0.0015508739755713972,0.005500953847652341
20,1e-06,3,0,0.003790859533610491,0.003951649941554658
21,1e-06,3,1,0.0019748738535387356,0.002252638479152939
22,1e-06,3,2,0.0017311162383084786,0.00267622976661751
23,1e-06,3,3,0.0024030494214900356,0.00254843273798475
24,1e-06,3,4,0.0020533077400914515,0.009001924703676254
25,1e-06,3,5,0.0021092571621815913,0.0029544237298066702
26,1e-06,3,6,0.002456116756779829,0.004793177274949623
27,1e-06,3,7,0.002548544159533993,0.004468734468797422
28,1e-06,3,8,0.002136775621387052,0.0023165485916738383
29,1e-06,3,9,0.0027715811724343753,0.0026898037197281392
30,1e-06,4,0,0.0011668395224534922,0.0037959592988791096
31,1e-06,4,1,0.0013240102712848045,0.001794599732675055
32,1e-06,4,2,0.0018135980681911175,0.003277840048084878
33,1e-06,4,3,0.0018401046130050872,0.0029390218940698867
34,1e-06,4,4,0.002917070104548136,0.003538769121164437
35,1e-06,4,5,0.0024037478346425594,0.002825464665723186
36,1e-06,4,6,0.0015754941009925615,0.0021929874072014934
37,1e-06,4,7,0.002025750396113663,0.0022211678165609907
38,1e-06,4,8,0.002591484810981555,0.0030963415212467457
39,1e-06,4,9,0.0026824117533733277,0.0025992111182463365
40,1e-06,5,0,0.0038543656409292673,0.006840100148635661
41,1e-06,5,1,0.0029222902233347688,0.004318037486243222
42,1e-06,5,2,0.0020449807418985518,0.003122402677796071
43,1e-06,5,3,0.0016166711096890676,0.0030076220505131125
44,1e-06,5,4,0.0019594281645569102,0.0017206270880816366
45,1e-06,5,5,0.0009402770363113114,0.001751675673486845
46,1e-06,5,6,0.0012537361598884238,0.002381106511877231
47,1e-06,5,7,0.0040886055596262745,0.005109919690421667
48,1e-06,5,8,0.002706400458845055,0.002738901320868446
49,1e-06,5,9,0.003814972992145044,0.005080009443319614
50,1e-06,6,0,0.0025774466196024624,0.003017899421610632
51,1e-06,6,1,0.002442957220795282,0.003518268419390583
52,1e-06,6,2,0.0022197255833304582,0.003374415986058108
53,1e-06,6,3,0.001338356839593174,0.0022436815910843893
54,1e-06,6,4,0.0019143410672422087,0.0023470666729813175
55,1e-06,6,5,0.0014994974176105048,0.0027395460416761355
56,1e-06,6,6,0.002046732866673466,0.00379554915104569
57,1e-06,6,7,0.001983288146485884,0.006269580622785828
58,1e-06,6,8,0.0026185077320813608,0.011506356914508513
59,1e-06,6,9,0.00305859017209975,0.004184656187797837
60,1e-06,7,0,0.0024200125644996536,0.004214978828647952
61,1e-06,7,1,0.0022201104755577234,0.0022819412082028677
62,1e-06,7,2,0.0017579295181490914,0.00254799932046547
63,1e-06,7,3,0.002294777665470807,0.0027886246239568558
64,1e-06,7,4,0.002376953419260543,0.00284195533426429
65,1e-06,7,5,0.0013600639931553255,0.0028285620506898566
66,1e-06,7,6,0.0026223033713799787,0.0032028585100385824
67,1e-06,7,7,0.0030032487270816297,0.006629082506882641
68,1e-06,7,8,0.0020603156798604267,0.0036795265850768895
69,1e-06,7,9,0.00339373506043375,0.004063252479083077
70,1e-06,8,0,0.003640134855987348,0.004711496358512678
71,1e-06,8,1,0.0019913565505861193,0.0024533292188570286
72,1e-06,8,2,0.0017898420951330434,0.0017940055063619263
73,1e-06,8,3,0.0017100016665163502,0.0019382095783190322
74,1e-06,8,4,0.002663147638037803,0.003255122178757179
75,1e-06,8,5,0.002117073472113846,0.002989995406390789
76,1e-06,8,6,0.0024648177380239855,0.004751142987717986
77,1e-06,8,7,0.002096723854944895,0.00297218863132539
78,1e-06,8,8,0.0013581514533012031,0.002291736297351672
79,1e-06,8,9,0.0034254893443617157,0.0042475619341267685
80,0.001,1,0,0.0008827267116716342,0.0007996463752451023
81,0.001,1,1,0.0008240709117283124,0.0007516398499759773
82,0.001,1,2,0.0009593273068882449,0.000652123676291865
83,0.001,1,3,0.0007721311062151551,0.000721774291321196
84,0.001,1,4,0.0015385699562915933,0.0008818418571542298
85,0.001,1,5,0.0014664200070427008,0.0004854345581120685
86,0.001,1,6,0.0010417653867478085,0.0007509305483640556
87,0.001,1,7,0.0008132775380282041,0.0006271141959654397
88,0.001,1,8,0.0019377852126716373,0.001003747324044916
89,0.001,1,9,0.00112898137755925,0.001057660262869046
90,0.001,2,0,0.0015930884156382403,0.0013711665610674471
91,0.001,2,1,0.0003416115917001201,0.0014153341604452698
92,0.001,2,2,0.0010347024160360443,0.0021696702479763147
93,0.001,2,3,0.0022904116516950113,0.001338736471512615
94,0.001,2,4,0.0014014540371648575,0.0017093082814528418
95,0.001,2,5,0.002450530897604141,0.0008104855047027214
96,0.001,2,6,0.001789204514719292,0.0009314160445381647
97,0.001,2,7,0.0013575679069765007,0.001690111879335859
98,0.001,2,8,0.002621950141713446,0.0010051495370646552
99,0.001,2,9,0.0015508739755713972,0.0016952319701322458
100,0.001,3,0,0.003790859533610491,0.002515751801439325
101,0.001,3,1,0.0019748738535387356,0.0025554718103630606
102,0.001,3,2,0.0017311162383084786,0.002210517769690557
103,0.001,3,3,0.0024030494214900356,0.006247299591289429
104,0.001,3,4,0.0020533077400914515,0.02973041510270055
105,0.001,3,5,0.0021092571621815913,0.0015471474714097938
106,0.001,3,6,0.002456116756779829,0.0024961213764339634
107,0.001,3,7,0.002548544159533993,0.0011466206832756805
108,0.001,3,8,0.002136775621387052,0.0013218769993995955
109,0.001,3,9,0.0027715811724343753,0.003910025009469092
110,0.001,4,0,0.0011668395224534922,0.0031811831048441657
111,0.001,4,1,0.0013240102712848045,0.001294313186010101
112,0.001,4,2,0.0018135980681911175,0.0007351411364888837
113,0.001,4,3,0.0018401046130050872,0.0028124798775232703
114,0.001,4,4,0.002917070104548136,0.0028389370936256664
115,0.001,4,5,0.0024037478346425594,0.0010069712285572698
