,shots,sample,acc_prob,acc_pl
0,100,0,0.03161364057372266,0.03227801695707502
1,100,1,0.02610805790730246,0.02704282659711417
2,100,2,0.03895102477234802,0.03690800026952332
3,100,3,0.03540131396343948,0.03596861943485495
4,100,4,0.035662257511231296,0.26751107962722054
5,183,0,0.011919525907995793,0.011852976846346812
6,183,1,0.014357647410178637,0.01541922811198503
7,183,2,0.024016033668252758,0.02383605959992583
8,183,3,0.018544786134401692,0.016750402214373284
9,183,4,0.01730418856613253,0.01597498014029248
10,335,0,0.009875284107530425,0.009497933413437727
11,335,1,0.009758957111716662,0.010047375940226548
12,335,2,0.008721556341404682,0.009418228138177547
13,335,3,0.013746166342370449,0.0140028807015541
14,335,4,0.007836633036244045,0.008539866002990863
15,615,0,0.006123685673072833,0.005910253328639751
16,615,1,0.008124864969184397,0.008113718235125557
17,615,2,0.002705019610446255,0.002882094396430881
18,615,3,0.004352276395804011,0.004314572664311346
19,615,4,0.004998876646933976,0.004939838158723025
20,1128,0,0.004185235571810393,0.004347391046699783
21,1128,1,0.002657486434070965,0.002586932468346087
22,1128,2,0.0025291565829385887,0.002655815514175427
23,1128,3,0.004333547819549946,0.003999190070288741
24,1128,4,0.002869696594567636,0.00289774231939013
25,2069,0,0.0016573085993745963,0.0014287280557681418
26,2069,1,0.002159387177954654,0.001901470226812579
27,2069,2,0.0013736556455346079,0.0013956522348766759
28,2069,3,0.002063993179300211,0.0021541740750706923
29,2069,4,0.001852751689259086,0.0017709956299792134
30,3792,0,0.0009151055914703357,0.0007983260118962453
31,3792,1,0.0007227638091058629,0.0006763575106239909
32,3792,2,0.0010348593077194874,0.0009110352762379442
33,3792,3,0.0006922265594354797,0.0006210470680607544
34,3792,4,0.0013995662295048993,0.0011754389416315572
35,6951,0,0.0007151631468395019,0.0005994791614131608
36,6951,1,0.0007690592729942562,0.0005770070583640874
37,6951,2,0.0006514360283786459,0.000510649224629333
38,6951,3,0.0005770571302843207,0.0005027722780066445
39,6951,4,0.0009151478269211149,0.0007055306611909552
40,12742,0,0.0003950647864012181,0.00030175150919965966
41,12742,1,0.0002707272404981883,0.00019523258342801382
42,12742,2,0.000466201252231829,0.0003069280621321613
43,12742,3,0.0005828157016068251,0.0004546385002311145
44,12742,4,0.00041292594698071056,0.00034239406157495714
45,23357,0,0.00029688640713447913,0.00017738235759515877
46,23357,1,0.000276996828204908,0.0001593873852831649
47,23357,2,0.00015284913965726523,0.00011296379328329305
48,23357,3,0.00022598670716645234,0.00013149054523590233
49,23357,4,0.0002753710372818384,0.0001320826753170802
50,42813,0,0.0002743629602742787,0.00014778873234260937
51,42813,1,0.0001463784311951073,9.373123204281007e-05
52,42813,2,0.0001660245017801228,9.233094528162558e-05
53,42813,3,0.00017569774669824682,6.54758981144642e-05
54,42813,4,0.00017279777918884228,6.875267439145607e-05
55,78475,0,0.00015614136943878604,7.935898917963483e-05
56,78475,1,0.00013467379081162032,5.301147116201645e-05
57,78475,2,0.00017691636377861888,6.314016539372174e-05
58,78475,3,0.00016884215809614083,5.371572013956912e-05
59,78475,4,0.00014270344351890362,6.600510278355305e-05
60,143844,0,0.00013674398109303116,4.0571699778844735e-05
61,143844,1,0.00015736571688231184,3.7033812821989406e-05
62,143844,2,0.00016404437622778123,4.2179076139401875e-05
63,143844,3,0.00018351628181969738,4.0309197233788726e-05
64,143844,4,0.00019370883567857203,5.097564164401709e-05
65,263665,0,0.00026572712810252224,2.599165535109529e-05
66,263665,1,0.00024037886943639524,2.3679412727713075e-05
67,263665,2,0.000224785715309624,3.526111750557146e-05
68,263665,3,0.00024447851663389627,2.661202782079833e-05
69,263665,4,0.0001641834007517351,3.442896197333767e-05
70,483293,0,0.00023687812250826736,1.926792528312382e-05
71,483293,1,0.00012495529812682357,1.3079184898962822e-05
72,483293,2,0.00021032903216227906,1.8972867930327025e-05
73,483293,3,0.0001757769564689867,1.8335602941942216e-05
74,483293,4,0.000267795847089842,1.769997053698484e-05
75,885866,0,0.00019656344685295145,9.933601792632763e-06
76,885866,1,0.00021126302601092638,4.886338118043794e-06
77,885866,2,0.0002550317495313,1.6117760159315338e-05
78,885866,3,0.0002337786037476076,1.9613311848105234e-05
79,885866,4,0.00026665915090824275,3.0607883520891404e-05
80,1623776,0,0.00024215065600306378,1.5054925599759854e-05
81,1623776,1,0.0002512371404083146,1.6768747780907416e-05
82,1623776,2,0.00018826955543525776,1.2533113393748469e-05
83,1623776,3,0.0002976358836779929,1.57301782659735e-05
84,1623776,4,0.0002442776835801767,2.477137760417039e-05
85,2976351,0,0.00021788636601894045,1.8754425085029727e-05
86,2976351,1,0.0002494380694518038,1.7704871686868505e-05
87,2976351,2,0.00016056364167582233,1.5901916087843796e-05
88,2976351,3,0.0002606352784541434,1.924044012141022e-05
89,2976351,4,0.0001848963466272986,1.748282337239556e-05
90,5455594,0,0.00023967936976401427,1.5873098781167252e-05
91,5455594,1,0.0002644097734086207,7.039664291202088e-06
92,5455594,2,0.0002511496905537982,1.030970838654003e-05
93,5455594,3,0.00017515206442624971,1.7855009496344863e-05
94,5455594,4,0.00021400294354891042,1.976404271706162e-05
95,10000000,0,0.00023684307607256533,1.6474985021170978e-05
96,10000000,1,0.0002734395958861211,4.184223170444803e-06
97,10000000,2,0.00038379672009896987,9.743128649728562e-06
98,10000000,3,0.00022648740419332604,1.5579660921280867e-05
99,10000000,4,0.00019440994059973397,1.565620662680115e-05
