,shots,acc_pl,acc_prob
0,100,0.008425890445614608,0.01865285651364577
1,183,0.3302575316360972,0.015573558085023859
2,335,0.007714629363052513,0.006450112046927781
3,615,0.005146528872932577,0.005513682001818965
4,1128,0.0017667621800231221,0.002499071926823383
5,2069,0.0010720053609340422,0.0013729284486442587
6,3792,0.000424021609901425,0.0004675164071170394
7,6951,0.0002575038562907188,0.0004098983782134022
8,12742,0.00016293809652255701,0.00016086202663112266
9,23357,7.060792660934773e-05,0.00012535510586691773
10,42813,2.5037311237766887e-05,8.9454272379317e-05
11,78475,2.8527556011495346e-05,0.00014843638040057538
12,143844,1.3099295695750025e-05,7.384910211916035e-05
13,263665,1.0602510849116807e-05,0.00034172344605668507
14,483293,5.938468788179508e-06,0.00014010312491927857
15,885866,2.862702526558036e-06,6.533438837125616e-05
16,1623776,1.250777295337446e-06,0.00018972170621976055
17,2976351,1.4208905085196756e-06,0.00011738285601470168
18,5455594,7.902668520982884e-07,0.0001646082736111541
19,10000000,5.745106297919274e-07,0.00011280328479160279
