shots,times,acc,type
1000,7.519504181999764,0.003173582943952165,pl
2000,7.650167716999931,0.0017048637079597048,pl
3000,8.299672850000206,0.0010222462382644063,pl
4000,8.517398775999936,0.0008051444475992458,pl
5000,8.574775822999982,0.0006414454021857088,pl
6000,8.477579719999994,0.0003869486320463017,pl
7000,8.584569851999731,0.00045730722225470027,pl
8000,8.671158199000274,0.00040449274167291444,pl
9000,8.831155175000276,0.00036112939560124124,pl
10000,8.874536205000368,0.00032433463406370916,pl
11000,8.876199586999974,0.0002946319419376516,pl
12000,8.760543436000262,0.0002718327389623562,pl
13000,8.721859043000222,0.0002513552156394464,pl
14000,8.826186645999769,0.00023774411127640234,pl
15000,8.908932031000404,0.00022302563852659893,pl
16000,9.054308237000441,0.00021138157023359988,pl
17000,8.928761509000651,0.00020228470291738408,pl
18000,8.841405795000355,0.00019249022927278654,pl
19000,9.313799116000155,0.0001827445519144207,pl
20000,9.13600274000055,0.00017564507447424317,pl
1000,4.860520979999819,0.0019414244755883911,prob
2000,5.22084094299953,0.0016893790194346622,prob
3000,5.3637472840000555,0.0017497192520396286,prob
4000,5.772347195000293,0.001093039844229722,prob
5000,5.955791039999895,0.0009706181113433212,prob
6000,6.001642932000323,0.0009219250471691099,prob
7000,5.964836259999174,0.0008460721796326486,prob
8000,6.362595134000003,0.0011225732670637296,prob
9000,6.091803377999895,0.00092828353803063,prob
10000,6.196330314999614,0.0009262269368583708,prob
11000,6.271242220000204,0.0007055800101524878,prob
12000,6.294366721999722,0.000730172528760907,prob
13000,6.430586683999536,0.0005359420207921648,prob
14000,6.116757217999293,0.0006780613030144289,prob
15000,6.263912994000748,0.0006110381358328676,prob
16000,6.498577282000042,0.0009333711816711467,prob
17000,6.306732885999736,0.0004948399656890891,prob
18000,6.323558783000408,0.0005461025263795709,prob
19000,6.195790191000015,0.0006945839543233987,prob
20000,6.322225884000545,0.0008398026965686654,prob
